keyword,auth,auth_url,time,weibo_link,device,content,tran,comment,goods
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月11日 20:58,//weibo.com/5979495016/K5Jy8BJQ3?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “跟男朋友接吻、抚摸，他下面丝毫没有反应，请问这是……”对于年轻的男生来说，有一丁点杏刺激立刻起立升旗。接吻和抚摸没有反应（胀大、变硬），要考虑葧荠存在硬件问题（器质性）还是软件问题（心理性）。需要进一步了解他中单solo的时候是否能硬起来？他是不是在两个人一起的时 ​  展开c,8,273,1262
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月12日 11:36,//weibo.com/5979495016/K5PiL9ssA?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “和老公在一起六年，恋爱时没有同居，半年前结婚，杏生活很少，甚至可以一个月都没有，这是什么情况？”男性在30岁之后身体机能开始走下坡路，再加上工作、生活的压力，不健康的生活习惯，都会加速欲望和能力下降的过程。如果男方能够主动改善目前的状态（包括健康的饮食睡眠习惯、 ​  展开c,15,170,786
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月13日 20:58,//weibo.com/5979495016/K62ptfkXG?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “男友最近发现他的前女友在没分手时有多个杏伴侣，我们想要查体，体检什么项目呢？”一般来说，如果因为担心被感染杏传播疾病，检查项目包括但不限于淋球菌、支原体、衣原体、单纯疱疹病毒(HSV)、人乳头瘤病毒(HPV)、乙肝、梅毒、人类免疫缺陷病毒(HIV)。不过，绝大多数的疾病潜伏期在 ​  展开c,17,33,218
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月14日 16:59,//weibo.com/5979495016/K6agIiK9e?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “男朋友在将要发生关系时交代了他有早蟹问题比较严重，一激动就结束了；硬度不够，长度比较短，真心冲着结婚交往的，该怎么办”看到前面这三个问题，确实有些不幸，准备结婚的对象时间短、硬度软、长度不达标。不过好在这是在结婚前发现的，还有时间做出反应。关于时间短，一激动就 ​  展开c,20,392,1519
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月14日 21:50,//weibo.com/5979495016/K6caLBMca?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “之前把男朋友弄疼了，他就一点欲望都没有了，平时不疼，只要一想那种事就疼”陈伯正常，能硬起来，说明他的葧荠功能没有什么器质上的问题。如果他所言属实，只要一想就疼，这是心理问题，建议找个精神心理科医生看一下。不想做“那些事儿”，又不愿意去医院治疗，说明有可能知道自 ​  展开c,6,120,1171
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月15日 20:33,//weibo.com/5979495016/K6l6muAQ8?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “男朋友丁丁硬起来之后贴肚皮，正常吗？”男性丁丁葧荠时的角度在一定程度上反映了它的硬度。正常男性的葧荠，角度应≥90度，如果角度小于90度，有可能存在羊尾。丁丁葧荠角度值随年龄增长而逐渐减少，有研究显示，按年龄评价角度范围：19岁以下应≥121度；20-29岁应≥110度；30-39 ​  展开c,13,204,731
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月16日 21:25,//weibo.com/5979495016/K6uRHB9Rq?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “男朋友身材很好，是个肉壮男，为什么一碰乳头一刮脚底就射了？”身材好不等于能力强，大肌肉不代表时间久（这两张照片好眼熟，是不是以前回答过？）刮脚底瞬间就射经，结合前面说的碰乳头就快射了来看，他可能确实比较敏感。如果都来不及活塞运动就缴械，或者运动时间小于3分钟（甚 ​  展开c,18,271,955
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月18日 12:27,//weibo.com/5979495016/K6KcAFO9m?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “对象现在只有几秒钟，前天还没进去就射了，一说这事他就生气，有时候不洗就啪，咋办？”目前初步判断男方存在早蟹的情况，不过，与早蟹相比更重要的是他对待这个问题的态度。有一些男性碍于“男子气概”的影响，不愿意承认自己存在杏功能障碍，这句话的通俗说法就是他认为自己不是 ​  展开c,7,178,930
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月18日 18:11,//weibo.com/5979495016/K6MrYmWSr?refer_flag=1001030103_,iPhone 11,#超斯基信箱# 同房不见红，在意处女的身份，到底是一种怎样的偏见思想？ ​,13,242,2234
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月19日 12:36,//weibo.com/5979495016/K6TGweUgS?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “我有一个男性朋友，他跟男人做了，没戴啊套，是没有的，但是我朋友还是很担心，怎么办？”如果双方都没有通过杏传播的病原微生物，那检查和治疗的意义就不大。但是，如果不能确定对方的情况，你怎么知道他“有没有”呢？男男行为的HIV传播一般高于异性伴侣，而且钢交接受方和插入方 ​  展开c,9,92,915
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月19日 22:07,//weibo.com/5979495016/K6Xqv57z5?refer_flag=1001030103_,iPhone 11,#超斯基信箱# 杏生活是互相的取悦与满足，不是一方的付出。男生30岁的年纪就只有这么少的次数，面对生过孩子的另一半没有兴趣，硬不起来，这不是很正常的现象。对于这种情况，我想提醒一下（但不能确定），我遇到的一些男病人在面对其他女性时是有欲望且能葧荠的。,8,210,954
超斯基信箱,许超医生,//weibo.com/5979495016?refer_flag=1001030103_,2021年03月20日 11:48,//weibo.com/5979495016/K72NL3cvH?refer_flag=1001030103_,iPhone 11,#超斯基信箱# “我有个哥们，22cm，请问这是为什么？”「先天发育」或者「测量错误」。当然，你可能更愿意相信是后者。ps：不要用自己的好恶去揣度别人。长就一定要用来割韭菜吗？锋利如刀咩？🙃,4,140,1034
